LOGICAL_TRANSFORMATION_RULE_ID,SEMANTIC_TRANSFORMATION_RULE_ID,ALGORITHM,ADDITIONAL_FILTERS,SOURCE_LAYER,DESTINATION_LAYER,TRANSFORMATION_TYPE,VALID_FROM,VALID_TO
DER__BIRD_INSTRMNT_RL_EIL_1__ACCMLTD_TTL_WRTFFS__01_01_1990,ACCMLTD_WRTFFS_TR,"SET BIRD_INSTRMNT_RL_EIL.ACCMLTD_TTL_WRTFFS = 
      CASE
        WHEN BIRD_INSTRMNT_RL_EIL.GRSS_CRRYNG_AMNT = 0 AND BIRD_INSTRMNT_RL_IL.CRRYNG_AMNT = 0 THEN BIRD_INSTRMNT_RL_IL.ACCMLTD_WRTFFS
        ELSE N/A
      END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL_1__ACCMLTD_CHNG_NGTV__01_01_1990,ACCMLTD_CHNG_NGTV_TR,"SET BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL.ACCMLTD_CHNG_NGTV =
        CASE
            WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_TKN_PSSSSN_TYP = 7
               AND BIRD_LNG_SCRTY_PSTN_CLLTRL_RCVD_ASSGNMNT_IL.CLLTRL_RL_TYP = 1
                AND BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.TKN_PSSSSN_DT > DATEADD(month,-3,BIRD_CLLTRL_IL.DT_RFRNC) 
                AND BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.TKN_PSSSSN_DT < BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.DT_RFRNC
                AND BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.GRSS_CRRYNG_AMNT_INTL_RCGNTN - BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.CRRYNG_AMNT < 0 
                THEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.GRSS_CRRYNG_AMNT_INTL_RCGNTN - BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.CRRYNG_AMNT
            ELSE 'N/A'
        END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_INSTRMNT_EIL_1__ACCMLTD_CVRG_RT__01_01_1990,ACCMLTD_CVRG_RT_TR,"SET BIRD_INSTRMNT_EIL.ACCMLTD_CVRG_RT =
        CASE
            WHEN BIRD_INSTRMNT_RL_IL.SBJCT_IMPRMNT_INDCTR = 1 
                AND BIRD_INSTRMNT_RL_IL.ACCNTNG_CLSSFCTN IN (14, 45,6, 8,73, 74) 
                THEN BIRD_INSTRMNT_RL_IL.ACCMLTD_IMPRMNT/BIRD_INSTRMNT_RL_EIL.GRSS_CRRYNG_AMNT

            WHEN BIRD_INSTRMNT_RL_IL.SBJCT_IMPRMNT_INDCTR = 2 
                AND BIRD_PRTY_IL.PRFRMNG_STTS=1 
                AND BIRD_INSTRMNT_RL_IL.ACCNTNG_CLSSFCTN IN (4,41,47, 7,9) 
                THEN BIRD_INSTRMNT_RL_IL.ACCMLTD_CHNGS_FV_CR/BIRD_INSTRMNT_RL_EIL.GRSS_CRRYNG_AMNT
    
            WHEN BIRD_INSTRMNT_RL_IL.SBJCT_IMPRMNT_INDCTR = 1 
                AND BIRD_INSTRMNT_RL_IL.ACCNTNG_CLSSFCTN IN (77,76,9)
                THEN
                    CASE
                        WHEN BIRD_INSTRMNT_RL_IL.IMPRMNT_STTS=26 THEN BIRD_INSTRMNT_RL_IL.ACCMLTD_CVRG_RT = BIRD_INSTRMNT_RL_IL.ACCMLTD_IMPRMNT/BIRD_INSTRMNT_RL_EIL.GRSS_CRRYNG_AMNT
                        WHEN BIRD_INSTRMNT_RL_IL.IMPRMNT_STTS=21 THEN BIRD_INSTRMNT_RL_IL.ACCMLTD_CVRG_RT=BIRD_INSTRMNT_RL_IL.GNRL_ALLWNCS_BNK_RSK+BIRD_INSTRMNT_RL_IL.GNRL_ALLWNCS_CRDT_RSK/BIRD_INSTRMNT_RL_EIL.GRSS_CRRYNG_AMNT
                    END

            WHEN BIRD_INSTRMNT_RL_IL.SBJCT_IMPRMNT_INDCTR=2 
                AND BIRD_PRTY_IL.PRFRMNG_STTS=1 
                AND BIRD_INSTRMNT_RL_IL.IMPRMNT_STTS=0 
                THEN BIRD_INSTRMNT_RL_IL.ACCMLTD_CHNGS_FV_CR/BIRD_INSTRMNT_RL_EIL.GRSS_CRRYNG_AMNT
            
            ELSE NULL
        END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL_1__ACCMLTD_CVRG_RT__01_01_1990,ACCMLTD_CVRG_RT_TR,"SET BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL.ACCMLTD_CVRG_RT =
        CASE
            WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.SBJCT_IMPRMNT_INDCTR = 1 
                AND BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.ACCNTNG_CLSSFCTN IN (14, 45,6, 8,73, 74) 
                THEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.ACCMLTD_IMPRMNT/BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL.GRSS_CRRYNG_AMNT

            WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.SBJCT_IMPRMNT_INDCTR = 2 
                AND BIRD_PRTY_IL.PRFRMNG_STTS=1 
                AND BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.ACCNTNG_CLSSFCTN IN (4,41,47, 7,9) 
                THEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.ACCMLTD_CHNGS_FV_CR/BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL.GRSS_CRRYNG_AMNT
    
            WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.SBJCT_IMPRMNT_INDCTR = 1 
                AND BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.ACCNTNG_CLSSFCTN IN (77,76,9)
                THEN
                    CASE
                        WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.IMPRMNT_STTS=26 THEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.ACCMLTD_CVRG_RT = BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.ACCMLTD_IMPRMNT/BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL.GRSS_CRRYNG_AMNT
                        WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.IMPRMNT_STTS=21 THEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.ACCMLTD_CVRG_RT=BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.GNRL_ALLWNCS_BNK_RSK+BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.GNRL_ALLWNCS_CRDT_RSK/BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL.GRSS_CRRYNG_AMNT
                    END

            WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.SBJCT_IMPRMNT_INDCTR=2 
                AND BIRD_PRTY_IL.PRFRMNG_STTS=1 
                AND BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.IMPRMNT_STTS=0 
                THEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.ACCMLTD_CHNGS_FV_CR/BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL.GRSS_CRRYNG_AMNT
            
            ELSE NULL
        END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_INSTRMNT_RL_EIL_1__ACCMLTD_PRTL_WRTFFS__01_01_1990,ACCMLTD_WRTFFS_TR,"SET BIRD_INSTRMNT_RL_EIL.ACCMLTD_PRTL_WRTFFS = 
      CASE
        WHEN BIRD_INSTRMNT_RL_IL.CRRYNG_AMNT <> 0 THEN BIRD_INSTRMNT_RL_IL.ACCMLTD_WRTFFS
        ELSE N/A
      END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_INSTRMNT_RL_EIL_1__PRFRMNG_STTS__01_01_1990,PRFRMNG_STTS_TR,"SET BIRD_INSTRMNT_RL_EIL.PRFRMNG_STTS = 
      CASE
        WHEN BIRD_PRTY_IL.PRFRMNG_STTS = 1 
        OR BIRD_INSTRMNT_RL_IL.FNNCL_ASST_INSTRMNT_TYP_CRR_123 = 28
        THEN 1
        ELSE 11
      END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_EIL_1__SHRT_PSTN_ACCNTNG_CLSSFCTN__01_01_1990,SHRT_PSTN_ACCNTNG_CLSSFCTN_TR,"SET BIRD_SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_EIL.SHRT_PSTN_ACCNTNG_CLSSFCTN = 
      CASE
        WHEN BIRD_SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_IL.SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_TYP = 4
        THEN 3
        WHEN BIRD_SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_IL.SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_TYP = 3
        THEN 2
        ELSE 'N/A'
      END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_CRDT_FCLTY_EIL_1__TM_PST_DU_BND__01_01_1990,TM_PST_DU_BND_TR,"SET TM_PST_DU = BIRD_INSTRMNT_RL_IL.DT_PST_D - BIRD_CRDT_FCLTY_IL.DT_RFRNC, 
      BIRD_CRDT_FCLTY_EIL.TM_PST_DU_BND = 
          CASE 
              WHEN TM_PST_DU/365 <= 0 THEN 1002 
              WHEN TM_PST_DU/365 > 0 AND TM_PST_DU/365 <= 1/12 THEN 75 
              WHEN TM_PST_DU/365 > 1/12 AND TM_PST_DU/365 <= 3/12 THEN 9 
              WHEN TM_PST_DU/365 > 3/12 AND TM_PST_DU/365 <= 6/12 THEN 12 
              WHEN TM_PST_DU/365 > 6/12 AND TM_PST_DU/365 <= 1 THEN 16 
              WHEN TM_PST_DU/365 > 1 AND TM_PST_DU/365 <= 2 THEN 21 
              WHEN TM_PST_DU/365 > 2 AND TM_PST_DU/365 <= 5 THEN 29 
              WHEN TM_PST_DU/365 > 5 AND TM_PST_DU/365 <= 7 THEN 84 
              WHEN TM_PST_DU/365 > 7 THEN 85 
          END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_INSTRMNT_RL_EIL_1__TM_PST_DU_BND__01_01_1990,TM_PST_DU_BND_TR,"SET TM_PST_DU = BIRD_INSTRMNT_RL_IL.DT_PST_D - BIRD_INSTRMNT_RL_IL.DT_RFRNC, BIRD_INSTRMNT_RL_EIL.TM_PST_DU_BND = CASE WHEN TM_PST_DU/365 <= 0 THEN 1002 WHEN TM_PST_DU/365 > 0 AND TM_PST_DU/365 <= 1/12 THEN 75 WHEN TM_PST_DU/365 > 1/12 AND TM_PST_DU/365 <= 3/12 THEN 9 WHEN TM_PST_DU/365 > 3/12 AND TM_PST_DU/365 <= 6/12 THEN 12 WHEN TM_PST_DU/365 > 6/12 AND TM_PST_DU/365 <= 1 THEN 16 WHEN TM_PST_DU/365 > 1 AND TM_PST_DU/365 <= 2 THEN 21 WHEN TM_PST_DU/365 > 2 AND TM_PST_DU/365 <= 5 THEN 29 WHEN TM_PST_DU/365 > 5 AND TM_PST_DU/365 <= 7 THEN 84 WHEN TM_PST_DU/365 > 7 THEN 85 END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_EIL_1__TM_PST_DU_BND__01_01_1990,TM_PST_DU_BND_TR,"SET TM_PST_DU = BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_IL.DT_PST_D - BIRD_CLLTRL_IL.DT_RFRNC, BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_EIL.TM_PST_DU_BND = CASE WHEN TM_PST_DU/365 <= 0 THEN 1002 WHEN TM_PST_DU/365 > 0 AND TM_PST_DU/365 <= 1/12 THEN 75 WHEN TM_PST_DU/365 > 1/12 AND TM_PST_DU/365 <= 3/12 THEN 9 WHEN TM_PST_DU/365 > 3/12 AND TM_PST_DU/365 <= 6/12 THEN 12 WHEN TM_PST_DU/365 > 6/12 AND TM_PST_DU/365 <= 1 THEN 16 WHEN TM_PST_DU/365 > 1 AND TM_PST_DU/365 <= 2 THEN 21 WHEN TM_PST_DU/365 > 2 AND TM_PST_DU/365 <= 5 THEN 29 WHEN TM_PST_DU/365 > 5 AND TM_PST_DU/365 <= 7 THEN 84 WHEN TM_PST_DU/365 > 7 THEN 85 END;",,IL,EIL,DER,1990-01-01,9999-12-31
